
0.000023940776    SN.node[473].Communication.MAC           EVENT:POS | Node:473 | x:5000 | y:5000 | Type:Vehicle
0.000037276011    SN.node[436].Communication.MAC           EVENT:POS | Node:436 | x:5000 | y:5000 | Type:Vehicle
0.000213322031    SN.node[488].Communication.MAC           EVENT:POS | Node:488 | x:5000 | y:5000 | Type:Vehicle
0.000637774565    SN.node[435].Communication.MAC           EVENT:POS | Node:435 | x:5000 | y:5000 | Type:Vehicle
0.000937400513    SN.node[11].Communication.MAC            EVENT:POS | Node:11 | x:5000 | y:5000 | Type:Vehicle
0.001030725101    SN.node[59].Communication.MAC            EVENT:POS | Node:59 | x:5000 | y:5000 | Type:Vehicle
0.00106128701     SN.node[139].Communication.MAC           EVENT:POS | Node:139 | x:5000 | y:5000 | Type:Vehicle
0.001104790717    SN.node[373].Communication.MAC           EVENT:POS | Node:373 | x:5000 | y:5000 | Type:Vehicle
0.001155878428    SN.node[77].Communication.MAC            EVENT:POS | Node:77 | x:5000 | y:5000 | Type:Vehicle
0.001199094159    SN.node[32].Communication.MAC            EVENT:POS | Node:32 | x:5000 | y:5000 | Type:Vehicle
0.001251264126    SN.node[481].Communication.MAC           EVENT:POS | Node:481 | x:5000 | y:5000 | Type:Vehicle
0.001276393642    SN.node[333].Communication.MAC           EVENT:POS | Node:333 | x:5000 | y:5000 | Type:Vehicle
0.001301313331    SN.node[143].Communication.MAC           EVENT:POS | Node:143 | x:5000 | y:5000 | Type:Vehicle
0.001493810629    SN.node[20].Communication.MAC            EVENT:POS | Node:20 | x:5000 | y:5000 | Type:Vehicle
0.001515567884    SN.node[438].Communication.MAC           EVENT:POS | Node:438 | x:5000 | y:5000 | Type:Vehicle
0.001546459819    SN.node[431].Communication.MAC           EVENT:POS | Node:431 | x:5000 | y:5000 | Type:Vehicle
0.001945904886    SN.node[233].Communication.MAC           EVENT:POS | Node:233 | x:5000 | y:5000 | Type:Vehicle
0.002031536877    SN.node[13].Communication.MAC            EVENT:POS | Node:13 | x:5000 | y:5000 | Type:Vehicle
0.002101542695    SN.node[484].Communication.MAC           EVENT:POS | Node:484 | x:5000 | y:5000 | Type:Vehicle
0.002274865366    SN.node[372].Communication.MAC           EVENT:POS | Node:372 | x:5000 | y:5000 | Type:Vehicle
0.00231481028     SN.node[454].Communication.MAC           EVENT:POS | Node:454 | x:5000 | y:5000 | Type:Vehicle
0.002455446252    SN.node[238].Communication.MAC           EVENT:POS | Node:238 | x:5000 | y:5000 | Type:Vehicle
0.002573360397    SN.node[16].Communication.MAC            EVENT:POS | Node:16 | x:5000 | y:5000 | Type:Vehicle
0.002782077295    SN.node[374].Communication.MAC           EVENT:POS | Node:374 | x:5000 | y:5000 | Type:Vehicle
0.002886574389    SN.node[258].Communication.MAC           EVENT:POS | Node:258 | x:5000 | y:5000 | Type:Vehicle
0.00307644644     SN.node[132].Communication.MAC           EVENT:POS | Node:132 | x:5000 | y:5000 | Type:Vehicle
0.003077035956    SN.node[494].Communication.MAC           EVENT:POS | Node:494 | x:5000 | y:5000 | Type:Vehicle
0.003113973943    SN.node[394].Communication.MAC           EVENT:POS | Node:394 | x:5000 | y:5000 | Type:Vehicle
0.003188490087    SN.node[103].Communication.MAC           EVENT:POS | Node:103 | x:5000 | y:5000 | Type:Vehicle
0.003233659663    SN.node[278].Communication.MAC           EVENT:POS | Node:278 | x:5000 | y:5000 | Type:Vehicle
0.003293494193    SN.node[483].Communication.MAC           EVENT:POS | Node:483 | x:5000 | y:5000 | Type:Vehicle
0.003348471131    SN.node[150].Communication.MAC           EVENT:POS | Node:150 | x:5000 | y:5000 | Type:Vehicle
0.003427496121    SN.node[400].Communication.MAC           EVENT:POS | Node:400 | x:5000 | y:5000 | Type:Vehicle
0.003506625397    SN.node[256].Communication.MAC           EVENT:POS | Node:256 | x:5000 | y:5000 | Type:Vehicle
0.003518487967    SN.node[495].Communication.MAC           EVENT:POS | Node:495 | x:5000 | y:5000 | Type:Vehicle
0.003536244016    SN.node[1].Communication.MAC             EVENT:POS | Node:1 | x:5000 | y:5000 | Type:Vehicle
0.003628106869    SN.node[152].Communication.MAC           EVENT:POS | Node:152 | x:5000 | y:5000 | Type:Vehicle
0.003681183233    SN.node[228].Communication.MAC           EVENT:POS | Node:228 | x:5000 | y:5000 | Type:Vehicle
0.003701889759    SN.node[390].Communication.MAC           EVENT:POS | Node:390 | x:5000 | y:5000 | Type:Vehicle
0.003760005685    SN.node[99].Communication.MAC            EVENT:POS | Node:99 | x:5000 | y:5000 | Type:Vehicle
0.003778320178    SN.node[406].Communication.MAC           EVENT:POS | Node:406 | x:5000 | y:5000 | Type:Vehicle
0.003789410239    SN.node[443].Communication.MAC           EVENT:POS | Node:443 | x:5000 | y:5000 | Type:Vehicle
0.003824814036    SN.node[402].Communication.MAC           EVENT:POS | Node:402 | x:5000 | y:5000 | Type:Vehicle
0.004078552126    SN.node[287].Communication.MAC           EVENT:POS | Node:287 | x:5000 | y:5000 | Type:Vehicle
0.004143550735    SN.node[260].Communication.MAC           EVENT:POS | Node:260 | x:5000 | y:5000 | Type:Vehicle
0.004300035769    SN.node[165].Communication.MAC           EVENT:POS | Node:165 | x:5000 | y:5000 | Type:Vehicle
0.004361468378    SN.node[106].Communication.MAC           EVENT:POS | Node:106 | x:5000 | y:5000 | Type:Vehicle
0.004489543382    SN.node[212].Communication.MAC           EVENT:POS | Node:212 | x:5000 | y:5000 | Type:Vehicle
0.004606579523    SN.node[334].Communication.MAC           EVENT:POS | Node:334 | x:5000 | y:5000 | Type:Vehicle
0.004610850568    SN.node[70].Communication.MAC            EVENT:POS | Node:70 | x:5000 | y:5000 | Type:Vehicle
0.004677574778    SN.node[17].Communication.MAC            EVENT:POS | Node:17 | x:5000 | y:5000 | Type:Vehicle
0.004744066693    SN.node[295].Communication.MAC           EVENT:POS | Node:295 | x:5000 | y:5000 | Type:Vehicle
0.004778340761    SN.node[350].Communication.MAC           EVENT:POS | Node:350 | x:5000 | y:5000 | Type:Vehicle
0.005005217203    SN.node[158].Communication.MAC           EVENT:POS | Node:158 | x:5000 | y:5000 | Type:Vehicle
0.005028885637    SN.node[489].Communication.MAC           EVENT:POS | Node:489 | x:5000 | y:5000 | Type:Vehicle
0.005282960226    SN.node[359].Communication.MAC           EVENT:POS | Node:359 | x:5000 | y:5000 | Type:Vehicle
0.00529608624     SN.node[323].Communication.MAC           EVENT:POS | Node:323 | x:5000 | y:5000 | Type:Vehicle
0.005810829519    SN.node[163].Communication.MAC           EVENT:POS | Node:163 | x:5000 | y:5000 | Type:Vehicle
0.006030868378    SN.node[231].Communication.MAC           EVENT:POS | Node:231 | x:5000 | y:5000 | Type:Vehicle
0.006066428963    SN.node[5].Application                   EVENT:APP_START | Node:5 | Status:SENDER_READY
0.006066428963    SN.node[5].Communication.MAC             EVENT:POS | Node:5 | x:5000 | y:5000 | Type:Vehicle
0.006231087504    SN.node[429].Communication.MAC           EVENT:POS | Node:429 | x:5000 | y:5000 | Type:Vehicle
0.006279265799    SN.node[12].Communication.MAC            EVENT:POS | Node:12 | x:5000 | y:5000 | Type:Vehicle
0.006291051988    SN.node[407].Communication.MAC           EVENT:POS | Node:407 | x:5000 | y:5000 | Type:Vehicle
0.006464693159    SN.node[160].Communication.MAC           EVENT:POS | Node:160 | x:5000 | y:5000 | Type:Vehicle
0.0064829192      SN.node[259].Communication.MAC           EVENT:POS | Node:259 | x:5000 | y:5000 | Type:Vehicle
0.006710908433    SN.node[462].Communication.MAC           EVENT:POS | Node:462 | x:5000 | y:5000 | Type:Vehicle
0.006958825665    SN.node[371].Communication.MAC           EVENT:POS | Node:371 | x:5000 | y:5000 | Type:Vehicle
0.006973356346    SN.node[298].Communication.MAC           EVENT:POS | Node:298 | x:5000 | y:5000 | Type:Vehicle
0.007129967317    SN.node[131].Communication.MAC           EVENT:POS | Node:131 | x:5000 | y:5000 | Type:Vehicle
0.007135866477    SN.node[61].Communication.MAC            EVENT:POS | Node:61 | x:5000 | y:5000 | Type:Vehicle
0.007166615722    SN.node[234].Communication.MAC           EVENT:POS | Node:234 | x:5000 | y:5000 | Type:Vehicle
0.007264497922    SN.node[476].Communication.MAC           EVENT:POS | Node:476 | x:5000 | y:5000 | Type:Vehicle
0.007268507371    SN.node[21].Communication.MAC            EVENT:POS | Node:21 | x:5000 | y:5000 | Type:Vehicle
0.007315811119    SN.node[249].Communication.MAC           EVENT:POS | Node:249 | x:5000 | y:5000 | Type:Vehicle
0.007593049632    SN.node[156].Communication.MAC           EVENT:POS | Node:156 | x:5000 | y:5000 | Type:Vehicle
0.007654465117    SN.node[428].Communication.MAC           EVENT:POS | Node:428 | x:5000 | y:5000 | Type:Vehicle
0.007687010325    SN.node[306].Communication.MAC           EVENT:POS | Node:306 | x:5000 | y:5000 | Type:Vehicle
0.007813121343    SN.node[382].Communication.MAC           EVENT:POS | Node:382 | x:5000 | y:5000 | Type:Vehicle
